Edad,TipoEmpleo,Educación,EstadoCivil,Profesión,Raza,Género,CargaHorariaSemanal,IngresoAnual
27,Privado,Secundario,Solterx,Servicio,Blancx,Masculino,40,50milO-
40,Privado,Tecnicatura,Casadx,Oficinista,Blancx,Masculino,40,50milO-
67,Otro/Desconocido,10º,Casadx,Otro/Desconocido,Blancx,Masculino,2,50milO-
18,Privado,11º,Solterx,Servicio,Blancx,Femenino,22,50milO-
31,Gubernamental,7º-8º,Casadx,Obrero,Blancx,Masculino,40,50milO-
18,Privado,Secundario,Solterx,Ventas,Blancx,Masculino,30,50milO-
52,Privado,Universitario,Casadx,Servicio,Blancx,Masculino,40,50milO-
46,Privado,Secundario,Casadx,Servicio,Blancx,Femenino,40,50milO-
59,Privado,Secundario,Casadx,Ventas,Blancx,Masculino,48,50milO-
44,Privado,Secundario,Divorciadx,Obrero,Blancx,Femenino,40,+50mil
53,Privado,Secundario,Divorciadx,Ventas,Blancx,Femenino,35,50milO-
49,Gubernamental,Secundario,Casadx,Servicio,Blancx,Masculino,40,+50mil
33,Privado,Magíster,Casadx,Profesional,Blancx,Masculino,50,50milO-
30,Privado,9º,Solterx,Ventas,Blancx,Masculino,40,50milO-
43,Gubernamental,Doctorado,Solterx,Profesional,Blancx,Femenino,50,+50mil
57,Privado,Tecnicatura,Casadx,Profesional,Blancx,Masculino,40,50milO-
37,Privado,UniversitarioIncompleto,Divorciadx,Obrero,Blancx,Femenino,40,50milO-
28,Privado,UniversitarioIncompleto,Divorciadx,Obrero,Negrx,Femenino,25,50milO-
30,Privado,Secundario,Casadx,Ventas,Asiáticx/IsleñxDelPacífico,Femenino,35,50milO-
34,Gubernamental,Universitario,Casadx,Servicio,Blancx,Masculino,40,+50mil
29,Gubernamental,UniversitarioIncompleto,Solterx,Obrero,Blancx,Masculino,50,50milO-
48,Autónomo,Doctorado,Casadx,Profesional,Blancx,Masculino,60,+50mil
37,Privado,UniversitarioIncompleto,Casadx,Ventas,Blancx,Masculino,48,+50mil
48,Privado,Tecnicatura,Divorciadx,Oficinista,Blancx,Femenino,40,50milO-
32,Gubernamental,Secundario,Solterx,Servicio,Negrx,Masculino,40,50milO-
76,Privado,Magíster,Casadx,Oficinista,Blancx,Masculino,40,+50mil
44,Privado,Universitario,Casadx,Oficinista,Blancx,Masculino,60,+50mil
47,Autónomo,Magíster,Solterx,Profesional,Blancx,Femenino,50,50milO-
20,Privado,UniversitarioIncompleto,Solterx,Servicio,Blancx,Femenino,40,50milO-
29,Privado,Secundario,Solterx,Obrero,Blancx,Masculino,40,50milO-
32,Autónomo,Secundario,Casadx,Obrero,Blancx,Masculino,40,+50mil
17,Otro/Desconocido,10º,Solterx,Otro/Desconocido,Blancx,Femenino,32,50milO-
30,Privado,11º,Solterx,Obrero,Blancx,Masculino,40,50milO-
31,Gubernamental,Secundario,Solterx,Oficinista,Blancx,Femenino,40,50milO-
42,Privado,Secundario,Casadx,Obrero,Blancx,Masculino,40,50milO-
24,Privado,Universitario,Solterx,Ventas,Blancx,Masculino,40,50milO-
38,Privado,FormaciónProfesional,Casadx,Profesional,Blancx,Masculino,40,+50mil
56,Autónomo,Secundario,Casadx,Servicio,Blancx,Masculino,50,+50mil
28,Privado,UniversitarioIncompleto,Casadx,Ventas,Blancx,Femenino,25,50milO-
36,Privado,Secundario,Solterx,Obrero,Blancx,Femenino,40,50milO-
53,Privado,9º,Casadx,Obrero,Blancx,Masculino,50,50milO-
56,Autónomo,UniversitarioIncompleto,Casadx,Ventas,Blancx,Masculino,50,50milO-
49,Gubernamental,Tecnicatura,Casadx,Obrero,Negrx,Masculino,40,+50mil
55,Privado,UniversitarioIncompleto,Casadx,Ventas,Blancx,Masculino,56,50milO-
22,Privado,Secundario,Solterx,Obrero,Blancx,Masculino,41,50milO-
21,Privado,UniversitarioIncompleto,Solterx,Servicio,Blancx,Femenino,40,50milO-
40,Privado,Universitario,Casadx,Oficinista,Blancx,Masculino,60,50milO-
30,Privado,Universitario,Solterx,Oficinista,Negrx,Masculino,40,50milO-
29,Gubernamental,Universitario,Casadx,Profesional,Blancx,Masculino,50,+50mil
19,Privado,UniversitarioIncompleto,Solterx,Servicio,Negrx,Masculino,35,50milO-
47,Privado,Universitario,Casadx,Oficinista,Blancx,Femenino,40,+50mil
20,Privado,UniversitarioIncompleto,Solterx,Oficinista,Blancx,Femenino,28,50milO-
31,Privado,Tecnicatura,Casadx,Oficinista,Blancx,Masculino,40,+50mil
35,Otro/Desconocido,Secundario,Casadx,Otro/Desconocido,Blancx,Masculino,40,50milO-
39,Privado,UniversitarioIncompleto,Divorciadx,Obrero,Blancx,Masculino,40,50milO-
28,Privado,Tecnicatura,Solterx,Ventas,Blancx,Femenino,60,50milO-
24,Privado,Secundario,Solterx,Servicio,Blancx,Femenino,40,50milO-
38,Autónomo,Secundario,Casadx,Obrero,Blancx,Masculino,35,50milO-
37,Privado,Universitario,Casadx,Ventas,Blancx,Masculino,50,50milO-
46,Privado,Tecnicatura,Divorciadx,Servicio,Negrx,Femenino,36,50milO-
38,Gubernamental,Magíster,Casadx,Profesional,Blancx,Masculino,40,+50mil
43,Autónomo,Secundario,Casadx,Obrero,Blancx,Masculino,60,50milO-
27,Privado,Tecnicatura,Casadx,Oficinista,Blancx,Femenino,35,50milO-
20,Privado,UniversitarioIncompleto,Solterx,Ventas,Blancx,Masculino,20,50milO-
49,Privado,UniversitarioIncompleto,Casadx,Obrero,Asiáticx/IsleñxDelPacífico,Masculino,40,+50mil
61,Autónomo,Secundario,Casadx,Obrero,Blancx,Masculino,40,50milO-
27,Privado,UniversitarioIncompleto,Solterx,Ventas,Blancx,Femenino,40,50milO-
19,Privado,UniversitarioIncompleto,Solterx,Servicio,Blancx,Masculino,30,50milO-
45,Privado,Tecnicatura,Solterx,Profesional,Blancx,Femenino,40,+50mil
70,Privado,UniversitarioIncompleto,Solterx,Servicio,Blancx,Masculino,40,50milO-
31,Privado,Secundario,Solterx,Obrero,Negrx,Femenino,30,50milO-
22,Privado,UniversitarioIncompleto,Casadx,Servicio,Blancx,Masculino,24,50milO-
36,Privado,Secundario,Viudx,Servicio,Blancx,Femenino,24,50milO-
64,Privado,11º,Casadx,Obrero,Blancx,Masculino,40,50milO-
43,Otro/Desconocido,UniversitarioIncompleto,Divorciadx,Otro/Desconocido,Blancx,Femenino,40,50milO-
47,Gubernamental,UniversitarioIncompleto,Divorciadx,Oficinista,Blancx,Femenino,38,50milO-
34,Privado,Secundario,Solterx,Oficinista,Blancx,Femenino,40,50milO-
33,Privado,Universitario,Solterx,Oficinista,Asiáticx/IsleñxDelPacífico,Femenino,40,50milO-
21,Privado,Secundario,Solterx,Obrero,Blancx,Masculino,35,50milO-
52,Otro/Desconocido,Secundario,Divorciadx,Otro/Desconocido,Blancx,Masculino,45,+50mil
48,Privado,Secundario,Casadx,Obrero,Blancx,Masculino,46,50milO-
23,Privado,Universitario,Solterx,Obrero,Blancx,Masculino,40,50milO-
71,Autónomo,UniversitarioIncompleto,Separadx,Ventas,Negrx,Masculino,2,50milO-
29,Privado,Secundario,Divorciadx,Obrero,Blancx,Masculino,60,50milO-
42,Privado,Universitario,Separadx,Servicio,Negrx,Masculino,50,50milO-
68,Otro/Desconocido,1º-4º,Divorciadx,Otro/Desconocido,Blancx,Femenino,20,50milO-
25,Privado,Secundario,Solterx,Servicio,Blancx,Femenino,40,50milO-
44,Autónomo,Magíster,Divorciadx,Oficinista,Asiáticx/IsleñxDelPacífico,Femenino,40,50milO-
28,Privado,Secundario,Solterx,Oficinista,Asiáticx/IsleñxDelPacífico,Femenino,40,50milO-
45,Autónomo,Magíster,Casadx,Ventas,Blancx,Masculino,40,+50mil
36,Privado,UniversitarioIncompleto,Divorciadx,Servicio,Blancx,Femenino,40,50milO-
39,Gubernamental,Tecnicatura,Solterx,Oficinista,Blancx,Masculino,42,50milO-
46,Gubernamental,Magíster,Viudx,Servicio,Blancx,Masculino,40,50milO-
18,Privado,11º,Solterx,Obrero,Blancx,Masculino,16,50milO-
66,Gubernamental,Tecnicatura,Viudx,Profesional,Blancx,Femenino,20,50milO-
27,Privado,Secundario,Solterx,Servicio,Blancx,Masculino,40,50milO-
28,Gubernamental,Secundario,Casadx,Servicio,Blancx,Masculino,40,50milO-
51,Privado,UniversitarioIncompleto,Casadx,Ventas,Blancx,Masculino,40,+50mil
27,Privado,Universitario,Solterx,Obrero,Blancx,Masculino,50,50milO-
28,Gubernamental,Universitario,Casadx,Profesional,Blancx,Masculino,40,+50mil
27,Privado,Secundario,Casadx,Ventas,Blancx,Femenino,25,50milO-
21,Privado,Secundario,Solterx,Obrero,Negrx,Masculino,40,50milO-
34,Privado,Secundario,Solterx,Obrero,Negrx,Masculino,40,50milO-
18,Privado,Secundario,Solterx,Servicio,Blancx,Masculino,12,50milO-
33,Privado,Universitario,Casadx,Profesional,Blancx,Masculino,65,50milO-
44,Gubernamental,UniversitarioIncompleto,Casadx,Oficinista,Negrx,Masculino,38,+50mil
43,Privado,UniversitarioIncompleto,Divorciadx,Oficinista,Blancx,Femenino,40,50milO-
30,Privado,UniversitarioIncompleto,Solterx,Obrero,Negrx,Masculino,45,50milO-
40,Privado,7º-8º,Casadx,Obrero,Blancx,Masculino,40,+50mil
37,Gubernamental,UniversitarioIncompleto,Casadx,Oficinista,Blancx,Masculino,42,+50mil
34,Privado,Secundario,Casadx,Oficinista,Negrx,Masculino,40,50milO-
41,Autónomo,Universitario,Divorciadx,Oficinista,Blancx,Femenino,40,50milO-
53,Otro/Desconocido,Universitario,Divorciadx,Otro/Desconocido,Blancx,Femenino,50,50milO-
31,Privado,Magíster,Casadx,Profesional,Blancx,Femenino,50,50milO-
58,Gubernamental,Doctorado,Casadx,Profesional,Blancx,Masculino,1,+50mil
38,Privado,UniversitarioIncompleto,Divorciadx,Obrero,Negrx,Femenino,28,50milO-
24,Privado,UniversitarioIncompleto,Casadx,Obrero,Blancx,Masculino,40,50milO-
41,Gubernamental,Universitario,Casadx,Obrero,Negrx,Masculino,40,50milO-
47,Privado,UniversitarioIncompleto,Casadx,Servicio,Blancx,Masculino,45,50milO-
41,Gubernamental,Universitario,Casadx,Servicio,Blancx,Masculino,24,50milO-
23,Privado,5º-6º,Casadx,Obrero,Blancx,Masculino,40,50milO-
36,Privado,UniversitarioIncompleto,Divorciadx,Obrero,Blancx,Masculino,40,50milO-
40,Gubernamental,Magíster,Solterx,Oficinista,Blancx,Femenino,55,+50mil
35,Privado,Magíster,Casadx,Profesional,Blancx,Masculino,40,+50mil
24,Autónomo,Secundario,Solterx,Ventas,Blancx,Masculino,40,50milO-
26,Privado,Magíster,Solterx,Profesional,Blancx,Femenino,40,50milO-
19,Otro/Desconocido,Secundario,Solterx,Otro/Desconocido,Blancx,Masculino,40,50milO-
51,Privado,Universitario,Casadx,Oficinista,Blancx,Masculino,50,+50mil
42,Gubernamental,UniversitarioIncompleto,Solterx,Profesional,Blancx,Femenino,40,50milO-
37,Gubernamental,Secundario,Divorciadx,Oficinista,Blancx,Femenino,35,50milO-
18,Privado,11º,Solterx,Ventas,Blancx,Femenino,40,50milO-
36,Privado,Universitario,Casadx,Servicio,Negrx,Masculino,36,+50mil
35,Privado,Secundario,Divorciadx,Obrero,Blancx,Masculino,60,50milO-
58,Autónomo,Secundario,Casadx,Ventas,Blancx,Femenino,35,+50mil
17,Privado,11º,Solterx,Ventas,Blancx,Femenino,12,50milO-
44,Gubernamental,Secundario,Casadx,Obrero,Negrx,Masculino,40,50milO-
37,Privado,Secundario,Casadx,Obrero,Blancx,Masculino,40,+50mil
35,Privado,UniversitarioIncompleto,Solterx,Ventas,Indígena/Esquimal,Femenino,40,50milO-
60,Privado,Secundario,Casadx,Obrero,Asiáticx/IsleñxDelPacífico,Masculino,40,50milO-
54,Autónomo,7º-8º,Casadx,Obrero,Blancx,Masculino,40,+50mil
37,Privado,Universitario,Solterx,Oficinista,Negrx,Masculino,60,+50mil
50,Privado,Tecnicatura,Divorciadx,Ventas,Blancx,Femenino,40,50milO-
38,Privado,Universitario,Casadx,Ventas,Blancx,Masculino,50,50milO-
45,Privado,Universitario,Casadx,Profesional,Blancx,Masculino,55,50milO-
25,Privado,10º,Solterx,Obrero,Blancx,Masculino,40,50milO-
31,Privado,UniversitarioIncompleto,Casadx,Obrero,Blancx,Masculino,40,50milO-
64,Otro/Desconocido,1º-4º,Divorciadx,Otro/Desconocido,Blancx,Masculino,40,50milO-
90,Privado,Secundario,Solterx,Servicio,Negrx,Masculino,40,50milO-
54,Privado,Secundario,Casadx,Oficinista,Negrx,Masculino,20,50milO-
53,Gubernamental,Preescolar,Solterx,Obrero,Blancx,Femenino,35,50milO-
18,Privado,Secundario,Solterx,Ventas,Blancx,Femenino,40,50milO-
60,Otro/Desconocido,10º,Divorciadx,Otro/Desconocido,Indígena/Esquimal,Femenino,10,50milO-
66,Autónomo,Secundario,Casadx,Obrero,Blancx,Masculino,50,50milO-
75,Privado,Tecnicatura,Viudx,Oficinista,Blancx,Femenino,20,50milO-
65,Privado,Secundario,Divorciadx,Oficinista,Blancx,Femenino,40,50milO-
35,Privado,11º,Separadx,Obrero,Negrx,Masculino,40,50milO-
41,Privado,Secundario,Divorciadx,Ventas,Negrx,Femenino,38,50milO-
25,Privado,UniversitarioIncompleto,Solterx,Oficinista,Blancx,Masculino,42,50milO-
33,Privado,UniversitarioIncompleto,Divorciadx,Obrero,Otro,Femenino,40,50milO-
28,Privado,FormaciónProfesional,Solterx,Profesional,Blancx,Masculino,55,+50mil
59,Gubernamental,Secundario,Casadx,Servicio,Blancx,Masculino,40,50milO-
40,Gubernamental,UniversitarioIncompleto,Solterx,Oficinista,Blancx,Femenino,38,50milO-
41,Privado,Universitario,Casadx,Oficinista,Blancx,Masculino,50,+50mil
38,Gubernamental,Magíster,Casadx,Oficinista,Blancx,Masculino,70,+50mil
23,Privado,Secundario,Solterx,Obrero,Blancx,Masculino,40,50milO-
40,Privado,Universitario,Casadx,Profesional,Blancx,Masculino,40,+50mil
41,Autónomo,Secundario,Casadx,Servicio,Blancx,Femenino,20,50milO-
24,Gubernamental,Tecnicatura,Casadx,Servicio,Blancx,Masculino,50,50milO-
20,Otro/Desconocido,UniversitarioIncompleto,Solterx,Otro/Desconocido,Blancx,Masculino,20,50milO-
38,Privado,UniversitarioIncompleto,Divorciadx,Obrero,Blancx,Masculino,40,50milO-
56,Privado,Secundario,Casadx,Oficinista,Blancx,Masculino,35,50milO-
58,Privado,Secundario,Casadx,Oficinista,Blancx,Masculino,45,+50mil
32,Privado,Secundario,Solterx,Servicio,Blancx,Femenino,34,50milO-
40,Privado,Tecnicatura,Casadx,Servicio,Blancx,Masculino,60,+50mil
45,Privado,Secundario,Casadx,Oficinista,Blancx,Masculino,40,50milO-
41,Privado,FormaciónProfesional,Casadx,Profesional,Blancx,Femenino,40,+50mil
42,Privado,Universitario,Casadx,Oficinista,Negrx,Femenino,40,50milO-
59,Gubernamental,10º,Viudx,Servicio,Negrx,Femenino,30,50milO-
19,Gubernamental,UniversitarioIncompleto,Solterx,Oficinista,Blancx,Masculino,40,50milO-
58,Privado,UniversitarioIncompleto,Solterx,Obrero,Blancx,Masculino,20,50milO-
42,Autónomo,Secundario,Casadx,Obrero,Asiáticx/IsleñxDelPacífico,Masculino,40,+50mil
20,Privado,Secundario,Solterx,Servicio,Blancx,Femenino,40,50milO-
32,Privado,Secundario,Separadx,Servicio,Blancx,Femenino,30,50milO-
45,Privado,Tecnicatura,Viudx,Oficinista,Blancx,Femenino,45,50milO-
50,Privado,7º-8º,Divorciadx,Obrero,Blancx,Masculino,40,50milO-
36,Privado,Universitario,Divorciadx,Profesional,Blancx,Femenino,40,50milO-
45,Privado,Secundario,Casadx,Ventas,Blancx,Masculino,60,50milO-
17,Privado,11º,Solterx,Servicio,Blancx,Masculino,12,50milO-
59,Privado,UniversitarioIncompleto,Casadx,Ventas,Blancx,Masculino,40,50milO-
26,Privado,11º,Casadx,Obrero,Blancx,Masculino,40,50milO-
37,Autónomo,UniversitarioIncompleto,Casadx,Oficinista,Asiáticx/IsleñxDelPacífico,Masculino,75,+50mil
19,Otro/Desconocido,UniversitarioIncompleto,Solterx,Otro/Desconocido,Blancx,Masculino,24,50milO-
64,Privado,Secundario,Casadx,Oficinista,Blancx,Masculino,40,+50mil
33,Privado,Universitario,Solterx,Profesional,Blancx,Femenino,45,50milO-
33,Privado,Secundario,Casadx,Obrero,Blancx,Femenino,40,+50mil
61,Privado,Secundario,Casadx,Oficinista,Blancx,Masculino,40,+50mil
17,Privado,9º,Solterx,Servicio,Blancx,Masculino,24,50milO-
50,Autónomo,Magíster,Casadx,Obrero,Blancx,Masculino,98,50milO-
27,Gubernamental,Magíster,Solterx,Profesional,Blancx,Masculino,35,50milO-
30,Privado,Secundario,Divorciadx,Profesional,Blancx,Femenino,40,50milO-
43,Privado,Secundario,Casadx,Obrero,Negrx,Masculino,40,50milO-
44,Privado,UniversitarioIncompleto,Casadx,Obrero,Blancx,Masculino,40,+50mil
35,Privado,UniversitarioIncompleto,Solterx,Oficinista,Blancx,Femenino,40,50milO-
25,Privado,UniversitarioIncompleto,Solterx,Servicio,Blancx,Femenino,40,50milO-
24,Privado,UniversitarioIncompleto,Casadx,Obrero,Blancx,Femenino,48,+50mil
22,Privado,Universitario,Solterx,Profesional,Blancx,Femenino,15,50milO-
42,Gubernamental,UniversitarioIncompleto,Casadx,Obrero,Blancx,Masculino,40,+50mil
34,Privado,Tecnicatura,Divorciadx,Ventas,Negrx,Femenino,45,50milO-
60,Privado,Universitario,Divorciadx,Profesional,Blancx,Femenino,42,50milO-
21,Privado,Secundario,Solterx,Obrero,Blancx,Masculino,40,50milO-
57,Gubernamental,Magíster,Casadx,Ventas,Blancx,Masculino,40,+50mil
41,Privado,FormaciónProfesional,Casadx,Profesional,Blancx,Masculino,60,+50mil
50,Privado,UniversitarioIncompleto,Divorciadx,Servicio,Blancx,Masculino,45,50milO-
25,Privado,Universitario,Solterx,Oficinista,Blancx,Femenino,40,50milO-
50,Privado,7º-8º,Casadx,Obrero,Blancx,Masculino,40,50milO-
36,Privado,Universitario,Casadx,Profesional,Blancx,Masculino,45,50milO-
31,Privado,Secundario,Divorciadx,Profesional,Blancx,Femenino,40,50milO-
29,Gubernamental,Universitario,Solterx,Servicio,Blancx,Masculino,56,50milO-
21,Privado,UniversitarioIncompleto,Solterx,Ventas,Blancx,Masculino,45,50milO-
27,Privado,Universitario,Solterx,Servicio,Negrx,Femenino,40,50milO-
65,Privado,Secundario,Casadx,Obrero,Blancx,Masculino,16,50milO-
37,Autónomo,Universitario,Divorciadx,Ventas,Blancx,Femenino,60,50milO-
39,Otro/Desconocido,Magíster,Casadx,Otro/Desconocido,Asiáticx/IsleñxDelPacífico,Femenino,40,50milO-
24,Privado,Secundario,Solterx,Obrero,Blancx,Masculino,40,50milO-
38,Privado,Secundario,Divorciadx,Ventas,Blancx,Masculino,80,50milO-
48,Privado,Universitario,Casadx,Oficinista,Blancx,Masculino,40,+50mil
21,Privado,UniversitarioIncompleto,Solterx,Servicio,Asiáticx/IsleñxDelPacífico,Femenino,25,50milO-
31,Privado,Secundario,Casadx,Obrero,Blancx,Masculino,45,+50mil
55,Privado,Secundario,Casadx,Ventas,Blancx,Masculino,40,+50mil
24,Privado,UniversitarioIncompleto,Casadx,Oficinista,Asiáticx/IsleñxDelPacífico,Femenino,40,50milO-
43,Privado,Secundario,Divorciadx,Oficinista,Blancx,Femenino,40,50milO-
26,Privado,Tecnicatura,Solterx,Servicio,Blancx,Masculino,45,50milO-
46,Privado,Tecnicatura,Solterx,Profesional,Blancx,Femenino,33,50milO-
35,Privado,Tecnicatura,Casadx,Oficinista,Blancx,Masculino,40,+50mil
41,Autónomo,UniversitarioIncompleto,Casadx,Obrero,Blancx,Masculino,54,+50mil
26,Privado,Universitario,Solterx,Ventas,Blancx,Masculino,40,50milO-
34,Privado,Magíster,Casadx,Oficinista,Asiáticx/IsleñxDelPacífico,Masculino,35,+50mil
19,Otro/Desconocido,UniversitarioIncompleto,Solterx,Otro/Desconocido,Negrx,Femenino,25,50milO-
36,Autónomo,Universitario,Divorciadx,Profesional,Negrx,Femenino,40,+50mil
22,Privado,UniversitarioIncompleto,Solterx,Ventas,Blancx,Masculino,15,50milO-
24,Privado,UniversitarioIncompleto,Solterx,Obrero,Blancx,Masculino,40,50milO-
77,Autónomo,UniversitarioIncompleto,Casadx,Ventas,Blancx,Masculino,40,50milO-
22,Privado,5º-6º,Casadx,Obrero,Blancx,Femenino,40,50milO-
29,Privado,UniversitarioIncompleto,Solterx,Servicio,Blancx,Femenino,40,50milO-
62,Privado,Secundario,Viudx,Servicio,Blancx,Femenino,24,50milO-
39,Autónomo,Secundario,Casadx,Oficinista,Blancx,Masculino,40,50milO-
43,Privado,UniversitarioIncompleto,Casadx,Obrero,Blancx,Masculino,50,50milO-
35,Privado,Secundario,Divorciadx,Obrero,Blancx,Masculino,45,50milO-
29,Privado,11º,Solterx,Oficinista,Blancx,Femenino,40,50milO-
76,Autónomo,Magíster,Casadx,Obrero,Blancx,Masculino,10,50milO-
63,Autónomo,Secundario,Casadx,Obrero,Blancx,Masculino,45,50milO-
23,Otro/Desconocido,Tecnicatura,Solterx,Otro/Desconocido,Negrx,Femenino,15,50milO-
43,Privado,UniversitarioIncompleto,Casadx,Profesional,Blancx,Femenino,50,+50mil
